Year,Date,Load
2023,22-Jan 9am,195609.78
2023,22-Jan 10am,199082.08
2023,22-Jan 11am,196631.66
2023,22-Jan 12pm,194168.53
2023,22-Jan 1pm,187841.64
2023,22-Jan 2pm,181993.48
2023,22-Jan 3pm,178019.68
2023,22-Jan 4pm,172457.04
2023,22-Jan 5pm,167026.13
2023,22-Jan 6pm,170006.14
2023,22-Jan 7pm,169080.19
2023,22-Jan 8pm,161698.38
2023,22-Jan 9pm,155501.02
2023,22-Jan 10pm,149707.17
2023,22-Jan 11pm,143792.01
2023,23-Jan 12am,138509
2023,23-Jan 1am,134512.92
2023,23-Jan 2am,132292.43
2023,23-Jan 3am,131814.26
2023,23-Jan 4am,135576.99
2023,23-Jan 5am,146688.99
2023,23-Jan 6am,162592.72
2023,23-Jan 7am,182431.5
2023,23-Jan 8am,192870.17
2023,23-Jan 9am,199680.58
2023,23-Jan 10am,202459.01
2023,23-Jan 11am,200901.6
2023,23-Jan 12pm,197413.7
2023,23-Jan 1pm,190506.66
2023,23-Jan 2pm,186537.63
2023,23-Jan 3pm,184971.03
2023,23-Jan 4pm,181354.25
2023,23-Jan 5pm,176674.9
2023,23-Jan 6pm,179335.5
2023,23-Jan 7pm,178265.52
2023,23-Jan 8pm,169289.18
2023,23-Jan 9pm,162241.18
2023,23-Jan 10pm,155155.4
2023,23-Jan 11pm,148493.3
2023,24-Jan 12am,143246.14
2023,24-Jan 1am,139204.05
2023,24-Jan 2am,136891.89
2023,24-Jan 3am,136225.88
2023,24-Jan 4am,139139.27
2023,24-Jan 5am,148064.98
2023,24-Jan 6am,162529.54
2023,24-Jan 7am,179237.4
2023,24-Jan 8am,187369.73
2023,24-Jan 9am,195345.68
2023,24-Jan 10am,199084.51
2023,24-Jan 11am,197672.68
2023,24-Jan 12pm,193340.95
2023,24-Jan 1pm,186651.68
2023,24-Jan 2pm,184294.06
2023,24-Jan 3pm,183179.87
2023,24-Jan 4pm,180438.25
2023,24-Jan 5pm,175708.17
2023,24-Jan 6pm,179690.71
2023,24-Jan 7pm,177791.1
2023,24-Jan 8pm,167965.43
2023,24-Jan 9pm,161147.44
2023,24-Jan 10pm,153906.04
2023,24-Jan 11pm,147981.37
2023,25-Jan 12am,143700.79
2023,25-Jan 1am,139953.46
2023,25-Jan 2am,137579.94
2023,25-Jan 3am,136463.82
2023,25-Jan 4am,138227.23
2023,25-Jan 5am,146365.52
2023,25-Jan 6am,160322.42
2023,25-Jan 7am,177189.77
2023,25-Jan 8am,186450.59
2023,25-Jan 9am,196172.37
2023,25-Jan 10am,199912.4
2023,25-Jan 11am,197840.85
2023,25-Jan 12pm,194593.8
2023,25-Jan 1pm,188468.94
2023,25-Jan 2pm,186345.89
2023,25-Jan 3pm,184131.27
2023,25-Jan 4pm,178818.03
2023,25-Jan 5pm,174462.43
2023,25-Jan 6pm,177836.06
2023,25-Jan 7pm,175532.17
2023,25-Jan 8pm,166923.24
2023,25-Jan 9pm,159102.34
2023,25-Jan 10pm,153266.95
2023,25-Jan 11pm,147896.05
2023,26-Jan 12am,143326.2
2023,26-Jan 1am,139925.65
2023,26-Jan 2am,136966.63
2023,26-Jan 3am,135587.9
2023,26-Jan 4am,137753.54
2023,26-Jan 5am,146712.98
2023,26-Jan 6am,159397.63
2023,26-Jan 7am,171619.74
2023,26-Jan 8am,177324.79
2023,26-Jan 9am,185167.07
2023,26-Jan 10am,187074.12
2023,26-Jan 11am,184036.18
2023,26-Jan 12pm,179399.64
2023,26-Jan 1pm,173512.07
2023,26-Jan 2pm,168744.12
2023,26-Jan 3pm,164817.56
2023,26-Jan 4pm,159867.8
2023,26-Jan 5pm,156173.2
2023,26-Jan 6pm,160973.18
2023,26-Jan 7pm,161654.22
2023,26-Jan 8pm,154171.7
2023,26-Jan 9pm,148376.07
2023,26-Jan 10pm,142795.25
2023,26-Jan 11pm,138401.96
2023,27-Jan 12am,134974.27
2023,27-Jan 1am,131712.5
2023,27-Jan 2am,129626.82
2023,27-Jan 3am,129595.55
2023,27-Jan 4am,131932.24
2023,27-Jan 5am,140411.65
2023,27-Jan 6am,154914.65
2023,27-Jan 7am,172909.27
2023,27-Jan 8am,185559.49
2023,27-Jan 9am,196955.65
2023,27-Jan 10am,200798.08
2023,27-Jan 11am,198583.59
2023,27-Jan 12pm,195146.78
2023,27-Jan 1pm,187772.75
2023,27-Jan 2pm,182944.59
2023,27-Jan 3pm,180834.51
2023,27-Jan 4pm,175952.08
2023,27-Jan 5pm,170547.45
2023,27-Jan 6pm,175706.6
2023,27-Jan 7pm,176878.68
2023,27-Jan 8pm,167648.39
2023,27-Jan 9pm,160274.92
2023,27-Jan 10pm,154427.38
2023,27-Jan 11pm,149355.56
2023,28-Jan 12am,144758.12
2023,28-Jan 1am,141135.39
2023,28-Jan 2am,138593.88
2023,28-Jan 3am,137954.12
2023,28-Jan 4am,140280.05
2023,28-Jan 5am,147459.11
2023,28-Jan 6am,159474.68
2023,28-Jan 7am,175062.3
2023,28-Jan 8am,185293.75
2023,28-Jan 9am,196566.99
2023,28-Jan 10am,201680.66
2023,28-Jan 11am,199548.54
2023,28-Jan 12pm,194959.97
2023,28-Jan 1pm,186851.12
2023,28-Jan 2pm,184009.16
2023,28-Jan 3pm,182505.9
2023,28-Jan 4pm,178194.83
2023,28-Jan 5pm,172601.68
2023,28-Jan 6pm,175173.94
2023,28-Jan 7pm,174987.27
2023,28-Jan 8pm,167286.92
2023,28-Jan 9pm,159536.34
2023,28-Jan 10pm,153132.84
2023,28-Jan 11pm,149284.21
2023,29-Jan 12am,144162.31
2023,29-Jan 1am,140378.7
2023,29-Jan 2am,137794.87
2023,29-Jan 3am,136832.89
2023,29-Jan 4am,139161.98
2023,29-Jan 5am,145173.01
2023,29-Jan 6am,151867.59
2023,29-Jan 7am,163450.89
2023,29-Jan 8am,175928.65
2023,29-Jan 9am,185345.75
2023,29-Jan 10am,189203.72
2023,29-Jan 11am,189278.12
2023,29-Jan 12pm,186651.21
2023,29-Jan 1pm,180473.44
2023,29-Jan 2pm,174808.89
2023,29-Jan 3pm,170554.23
2023,29-Jan 4pm,166201.64
2023,29-Jan 5pm,160721.36
2023,29-Jan 6pm,162755.79
2023,29-Jan 7pm,164571.81
2023,29-Jan 8pm,156638.25
2023,29-Jan 9pm,150003.8
2023,29-Jan 10pm,144668.01
2023,29-Jan 11pm,140203.88
2023,30-Jan 12am,135776.2
2023,30-Jan 1am,132255.35
2023,30-Jan 2am,129537.91
2023,30-Jan 3am,128466.64
2023,30-Jan 4am,130582.15
2023,30-Jan 5am,137013.52
2023,30-Jan 6am,148592.42
2023,30-Jan 7am,165983.17
2023,30-Jan 8am,175648.12
2023,30-Jan 9am,185281.57
2023,30-Jan 10am,190533.13
2023,30-Jan 11am,189934.65
2023,30-Jan 12pm,187441.39
2023,30-Jan 1pm,180344.83
2023,30-Jan 2pm,179006.8
2023,30-Jan 3pm,176958.82
2023,30-Jan 4pm,173467.98
2023,30-Jan 5pm,170525.76
2023,30-Jan 6pm,174236.54
2023,30-Jan 7pm,174777.68
2023,30-Jan 8pm,167007.28
2023,30-Jan 9pm,159406.28
2023,30-Jan 10pm,152839.75
2023,30-Jan 11pm,148516.75
2023,31-Jan 12am,144112.07
2023,31-Jan 1am,140292.95
2023,31-Jan 2am,137723.53
2023,31-Jan 3am,137398.08
2023,31-Jan 4am,139910.44
2023,31-Jan 5am,147328.03
2023,31-Jan 6am,159440.48
2023,31-Jan 7am,174720.59
2023,31-Jan 8am,183376.56
2023,31-Jan 9am,191215.9
2023,31-Jan 10am,195252.97
2023,31-Jan 11am,195851.03
2023,31-Jan 12pm,185425.34
2023,31-Jan 1pm,177615.32
2023,31-Jan 2pm,174939.75
2023,31-Jan 3pm,173750.91
2023,31-Jan 4pm,170986.53
2023,31-Jan 5pm,171662.02
2023,31-Jan 6pm,176955.81
2023,31-Jan 7pm,177492.74
2023,31-Jan 8pm,167597.38
2023,31-Jan 9pm,159974.14
2023,31-Jan 10pm,153488.59
2023,31-Jan 11pm,148233.33
2023,01-Feb 12am,144650.84
2023,01-Feb 1am,141962.33
2023,01-Feb 2am,139703.27
2023,01-Feb 3am,139193.65
2023,01-Feb 4am,141729.65
2023,01-Feb 5am,149740.79
2023,01-Feb 6am,161506.7
2023,01-Feb 7am,176646.89
2023,01-Feb 8am,185261.16
2023,01-Feb 9am,193314.07
2023,01-Feb 10am,197616.81
2023,01-Feb 11am,194922.7
2023,01-Feb 12pm,191244.74
2023,01-Feb 1pm,183148.51
2023,01-Feb 2pm,180819.55
2023,01-Feb 3pm,178937.76
2023,01-Feb 4pm,174479.25
2023,01-Feb 5pm,170177.17
2023,01-Feb 6pm,175609.25
2023,01-Feb 7pm,176461.78
2023,01-Feb 8pm,167912.77
2023,01-Feb 9pm,160648.99
2023,01-Feb 10pm,154154.42
2023,01-Feb 11pm,149256.23
2023,02-Feb 12am,144797.95
2023,02-Feb 1am,141810
2023,02-Feb 2am,139755.79
2023,02-Feb 3am,139114.64
2023,02-Feb 4am,141901.08
2023,02-Feb 5am,149927.26
2023,02-Feb 6am,163136.94
2023,02-Feb 7am,179147.94
2023,02-Feb 8am,187620.47
2023,02-Feb 9am,196180.34
2023,02-Feb 10am,197505.57
2023,02-Feb 11am,195320.96
2023,02-Feb 12pm,190847.39
2023,02-Feb 1pm,183462.78
2023,02-Feb 2pm,181128.3
2023,02-Feb 3pm,179527.7
2023,02-Feb 4pm,176049.06
2023,02-Feb 5pm,172186.31
2023,02-Feb 6pm,176831.47
2023,02-Feb 7pm,177895.61
2023,02-Feb 8pm,168752.52
2023,02-Feb 9pm,161041.91
