t,s,Solar,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
5006,Avg,2.785852599236263,2.002475000878784,0.0,9.460194831313103,0.0,0.0,0.0,0.0,11.937316141530099,0.2785852599236263,0.783377598357479,-0.0,0.0
5007,Avg,2.2439660587364414,1.4541057453930697,0.0,10.914300576706173,0.0,0.0,0.0,0.0,11.937316141530099,0.22439660587364416,0.7898603133433717,-0.0,0.0
5008,Avg,1.5469239703157305,0.7563635026890083,0.0,11.670664079395182,0.0,0.0,0.0,0.0,11.937316141530099,0.15469239703157306,0.7905604676267222,-0.0,0.0
5009,Avg,0.741041422905739,0.0,0.03878983275810377,11.631874246637079,0.0,0.0,0.0,0.0,11.937316141530099,0.07410414229057391,0.7759522723880324,-0.0,0.0
5010,Avg,0.16210281126063045,0.0,0.6710130775121341,10.960861169124945,0.0,0.0,0.0,0.0,11.937316141530099,0.016210281126063045,0.7660145810215512,-0.0,0.0
5011,Avg,0.0,0.0,0.8592797929864014,10.101581376138544,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7733518136877613,-0.0,0.0
5012,Avg,0.0,0.0,0.9057850430809208,9.195796333057624,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8152065387728287,-0.0,0.0
5013,Avg,0.0,0.0,0.9066239867976978,8.289172346259926,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8159615881179281,-0.0,0.0
5014,Avg,0.0,0.0,0.9006112759624748,7.388561070297451,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8105501483662273,-0.0,0.0
5015,Avg,0.0,0.0,0.8926756229923625,6.495885447305088,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8034080606931262,-0.0,0.0
5016,Avg,0.0,0.0,0.87374644631479,5.622139000990298,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.786371801683311,-0.0,0.0
5017,Avg,0.0,0.0,0.8470537400934297,4.775085260896868,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7623483660840867,-0.0,0.0
5018,Avg,0.0,0.0,0.8259645712317681,3.9491206896651,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7433681141085913,-0.0,0.0
5019,Avg,0.0,0.0,0.8075679145699336,3.141552775095166,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7268111231129402,-0.0,0.0
5020,Avg,0.0,0.0,0.7932695461797112,2.348283228915455,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7139425915617401,-0.0,0.0
5021,Avg,0.0,0.0,0.7839413646030434,1.5643418643124116,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7055472281427391,-0.0,0.0
5022,Avg,0.0,0.0,0.7821709321562058,0.7821709321562058,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7039538389405852,-0.0,0.0
5023,Avg,0.38071054174551067,0.0,0.3720499389908274,0.4101209931653784,0.0,0.0,0.0,0.0,11.937316141530099,0.03807105417455107,0.7155554868372553,-0.0,0.0
5024,Avg,0.8407323597084263,0.10990673503063997,0.0,0.5200277281960184,0.0,0.0,0.0,0.0,11.937316141530099,0.08407323597084264,0.7308256246777863,-0.0,0.0
5025,Avg,0.7507738497451804,0.0,0.0,0.5200277281960184,0.0,0.0,0.0,0.0,11.937316141530099,0.07507738497451805,0.7507738497451804,-0.0,0.0
5026,Avg,2.6909066669264647,1.9088931876820854,0.0,2.4289209158781038,0.0,0.0,0.0,0.0,11.937316141530099,0.2690906666926465,0.7820134792443794,-0.0,0.0
5027,Avg,0.0,0.0,0.8837646195433544,1.5451562963347496,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7953881575890189,-0.0,0.0
5028,Avg,3.5847878833065128,2.7907156905285375,0.0,4.335871986863287,0.0,0.0,0.0,0.0,11.937316141530099,0.3584787883306513,0.7940721927779754,-0.0,0.0
5029,Avg,3.501420723229617,2.7137330409947586,0.0,7.049605027858046,0.0,0.0,0.0,0.0,11.937316141530099,0.35014207232296174,0.7876876822348584,-0.0,0.0
5030,Avg,3.1586890651357127,2.385038930701793,0.0,9.434643958559839,0.0,0.0,0.0,0.0,11.937316141530099,0.3158689065135713,0.7736501344339196,-0.0,0.0
