t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1705,Avg,0.2951864219748537,0.0,0.38810134361025883,0.0,0.006868084609900904,0.0,0.0,0.6894690417340233
1706,Avg,0.352114158087601,0.0,0.32670448333166263,0.0,0.0,0.0,0.0,0.6788186414192636
1707,Avg,0.38368144512827373,0.0,0.2838080017198892,0.0,0.003434042304950452,0.0,0.0,0.6705800849226183
1708,Avg,0.3926354619028584,0.0,0.2705934455293016,0.0,0.001717021152475226,0.0,0.0,0.6647742264693877
1709,Avg,0.3951245576525319,0.0,0.27587926833746373,0.0,0.000858510576237613,0.0,0.0,0.6717764855086095
1710,Avg,0.4207924460194578,0.0,0.2768957725576852,0.0,0.0004292552881188065,0.0,0.0,0.69807454833645
1711,Avg,0.4762701429543031,0.032931600915552216,0.225663955145158,0.0,0.00021462764405940325,0.0,0.0,0.7350588638946668
1712,Avg,0.5228087488239643,0.11394643133691071,0.1345851697773031,0.0,0.00010731382202970163,0.0,0.0,0.7714369323780048
1713,Avg,0.5022221464017702,0.1886223151031629,0.10022732434562955,0.0,5.365691101485081e-05,0.0,0.0,0.7911200770704759
1714,Avg,0.4794322153266933,0.2509295224692077,0.09514480291259508,0.0,2.6828455507425407e-05,0.0,0.0,0.8255306863184527
1715,Avg,0.4356764612824781,0.29885814352001144,0.11466168546771206,0.0,1.3414227753712703e-05,0.0,0.0,0.84920836307518
1716,Avg,0.3829941166068355,0.3276153161504936,0.1473931242134166,0.0,6.707113876856352e-06,0.0,0.0,0.8580085933732349
1717,Avg,0.3459723147314173,0.3254507977804574,0.17666844821205566,0.0,3.353556938428176e-06,0.0,0.0,0.8480945789251749
1718,Avg,0.33329215346713115,0.2894270277648533,0.1969985342761207,0.0,1.676778469214088e-06,0.0,0.0,0.8197192246087274
1719,Avg,0.377514270443641,0.2265013865787981,0.21509231085654218,0.0,8.38389234607044e-07,0.0,0.0,0.8191087224292923
1720,Avg,0.4261421490442254,0.15878288328766255,0.23054317619884615,0.0,4.19194617303522e-07,0.0,0.0,0.8154685858058897
1721,Avg,0.46780911081736165,0.08178787269637147,0.25331287278975523,0.0,2.09597308651761e-07,0.0,0.0,0.8029100449410661
1722,Avg,0.4145352110801596,0.011286417215189257,0.34317185289418817,0.0,1.047986543258805e-07,0.0,0.0,0.7689935755083259
1723,Avg,0.29468390584363924,0.0,0.4659655731194533,0.0,5.239932716294025e-08,0.0,0.0,0.760649526122487
1724,Avg,0.27587914957745396,0.0,0.5045927364752133,0.0,2.6199663581470124e-08,0.0,0.0,0.7804719096323645
1725,Avg,0.25879022918312267,0.0,0.5047865432964674,0.02842792657720158,0.014213976388432581,0.0,0.0,0.7479414246519778
1726,Avg,0.25879022918312267,0.0,0.4783625674506431,0.0,0.0,0.0,0.0,0.7371527966337658
1727,Avg,0.25879022918312267,0.0,0.4769674829727041,0.0,0.0,0.0,0.0,0.7357577121558267
1728,Avg,0.25980630565133794,0.0,0.4673886790941488,0.0,0.0071069881942162905,0.0,0.0,0.7335912741202814
1729,Avg,0.28046354591686257,0.0,0.4320143294422539,0.0,0.0035534940971081452,0.0,0.0,0.7156760200465138
1730,Avg,0.31328229537790614,0.0,0.38667823763556336,0.0,0.0017767470485540726,0.0,0.0,0.7015596053571682
1731,Avg,0.3463830241034686,0.0,0.3423586497171673,0.0,0.0008883735242770363,0.0,0.0,0.6895412099924852
1732,Avg,0.3677947002672025,0.0,0.31552293591344516,0.0,0.00044418676213851815,0.0,0.0,0.6837174042665723
1733,Avg,0.38676230152025165,0.0,0.3047479902497016,0.0,0.00022209338106925908,0.0,0.0,0.6917101758129156
1734,Avg,0.41580741078807,0.0,0.3008852740800892,0.0,0.00011104669053462954,0.0,0.0,0.7167926268896403
1735,Avg,0.4717527190570855,0.038961330660653326,0.2392851130902196,0.0,5.552334526731477e-05,0.0,0.0,0.750049133818699
1736,Avg,0.5348781384413336,0.13837456722732036,0.10835935877125555,0.0,2.7761672633657385e-05,0.0,0.0,0.7816370499452798
