t,s,Solar,Wind,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
1050,Avg,0.0,0.20563497496263552,0.0,0.6070882057941956,4.626202444575798,0.0,0.0,0.0,0.0,6.331341242238595,0.020563497496263555,0.7520143601774116,-0.0,0.0
1051,Avg,0.0,0.0,0.0,0.8429795125890546,3.7832229319867428,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.7586815613301491,-0.0,0.0
1052,Avg,0.0,0.4523969449177982,0.0,0.3393344300845663,3.4438885019021765,0.0,0.0,0.0,0.0,6.331341242238595,0.04523969449177982,0.7577979319939079,-0.0,0.0
1053,Avg,0.0,0.567713813243086,0.0,0.17202461283737058,3.271863889064806,0.0,0.0,0.0,0.0,6.331341242238595,0.056771381324308604,0.7225359647967196,-0.0,0.0
1054,Avg,0.0,0.6890787685638616,0.0,0.004422949512312591,3.2674409395524933,0.0,0.0,0.0,0.0,6.331341242238595,0.06890787685638616,0.693059423124943,-0.0,0.0
1055,Avg,0.0,0.0,0.0,0.7472277233140778,2.520213216238415,0.0,0.0,0.0,0.0,6.331341242238595,0.0,0.67250495098267,-0.0,0.0
1056,Avg,0.0,0.6794018291077575,0.018066948882420664,0.0,2.538280165120836,0.0,0.0,0.0,0.0,6.331341242238595,0.06794018291077575,0.6613348802253368,-0.0,0.0
1057,Avg,0.0,0.5834388410112975,0.0,0.07000198109542544,2.4682781840254107,0.0,0.0,0.0,0.0,6.331341242238595,0.058343884101129756,0.6464406239971804,-0.0,0.0
1058,Avg,0.0,0.49392714544670047,0.0,0.155489851499775,2.3127883325256358,0.0,0.0,0.0,0.0,6.331341242238595,0.04939271454467005,0.633868011796498,-0.0,0.0
1059,Avg,0.0,0.4229629190381809,0.0,0.22287590879845237,2.0899124237271836,0.0,0.0,0.0,0.0,6.331341242238595,0.04229629190381809,0.623551236956788,-0.0,0.0
1060,Avg,0.0,0.37175577839486457,0.0,0.2773992353502754,1.8125131883769083,0.0,0.0,0.0,0.0,6.331341242238595,0.03717557783948646,0.6214150902101124,-0.0,0.0
1061,Avg,0.0,0.34957945809479013,0.0,0.3112507925487445,1.501262395828164,0.0,0.0,0.0,0.0,6.331341242238595,0.034957945809479016,0.6297051713886601,-0.0,0.0
1062,Avg,0.0,0.34111213458950196,0.0,0.3540421208583792,1.1472202749697846,0.0,0.0,0.0,0.0,6.331341242238595,0.0341112134589502,0.6597500433620432,-0.0,0.0
1063,Avg,0.0,0.29030820014087066,0.0,0.46205653148138015,0.6851637434884044,0.0,0.0,0.0,0.0,6.331341242238595,0.029030820014087067,0.7061590784741127,-0.0,0.0
1064,Avg,0.6809190440226734,0.0858030639881423,0.0,0.0,0.6851637434884044,0.0,0.0,0.0,0.0,6.331341242238595,0.07667221080108158,0.7667221080108158,-0.0,0.0
1065,Avg,1.1077765854388972,0.0,1.0227726212877455,0.79857935311613,0.9093570116600198,0.0,0.0,0.0,0.0,6.331341242238595,0.11077765854388973,0.8037253819556688,-0.0,0.0
1066,Avg,1.4302721628214952,0.11128480966998638,1.9058938252801532,1.3305475698455125,1.4847032670946607,0.0,0.0,0.0,0.0,6.331341242238595,0.15415569724914824,0.8331559600722896,-0.0,0.0
1067,Avg,1.6372852390193429,0.13991242447685306,0.9372085531934797,0.0,2.4219118202881402,0.0,0.0,0.0,0.0,6.331341242238595,0.1777197663496196,0.8399891103027162,-0.0,0.0
